"author","community"
"Saul Calderon-Ramirez",27
"Adán Mora-Fallas",27
"Michael Granados-Menani",27
"Jordina Torrents-Barrena",27
"Junyuan Xie",46
"Ross Girshick",46
"Ali Farhadi",46
"Alec Radford",47
"Luke Metz",47
"Soumith Chintala",47
"Sergey Zagoruyko",57
"Nikos Komodakis",57
