"author","community"
"Qilong Wang","26"
"Banggu Wu","26"
"Pengfei Zhu","26"
"Peihua Li","26"
"Wangmeng Zuo","26"
"Qinghua Hu","26"
"Qilong Wang","26"
"Banggu Wu","26"
"Pengfei Zhu","26"
"Peihua Li","26"
"Wangmeng Zuo","26"
"Qinghua Hu","26"
"Qilong Wang","26"
"Banggu Wu","26"
"Pengfei Zhu","26"
"Peihua Li","26"
"Wangmeng Zuo","26"
"Qinghua Hu","26"
"Qilong Wang","26"
"Banggu Wu","26"
"Pengfei Zhu","26"
"Peihua Li","26"
"Wangmeng Zuo","26"
"Qinghua Hu","26"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Mingxing Tan","1+2"
"Quoc V. Le","1+2"
"Liang-Chieh Chen","1"
"Yukun Zhu","1"
"George Papandreou","1"
"Florian Schroff","1"
"Hartwig Adam","1"
"Sachin Mehta","13"
"Mohammad Rastegari","13"
"Linda G. Shapiro","13"
"Hannaneh Hajishirzi","13"
"Saining Xie","2"
"Alexander Kirillov","2"
"Ross Girshick","2"
"Kaiming He","2"
"Dhruv Mahajan","2"
"Ross Girshick","2"
"Vignesh Ramanathan","2"
"Kaiming He","2"
"Manohar Paluri","2"
"Yixuan Li","2"
"Ashwin Bharambe","2"
"Laurens van der Maaten","2"
"Dhruv Mahajan","2"
"Ross Girshick","2"
"Vignesh Ramanathan","2"
"Kaiming He","2"
"Manohar Paluri","2"
"Yixuan Li","2"
"Ashwin Bharambe","2"
"Laurens van der Maaten","2"
"Dhruv Mahajan","2"
"Ross Girshick","2"
"Vignesh Ramanathan","2"
"Kaiming He","2"
"Manohar Paluri","2"
"Yixuan Li","2"
"Ashwin Bharambe","2"
"Laurens van der Maaten","2"
"Sungbin Lim","35"
"Ildoo Kim","35"
"Taesup Kim","35"
"Chiheon Kim","35"
"Sungwoong Kim","35"
"Sungbin Lim","35"
"Ildoo Kim","35"
"Taesup Kim","35"
"Chiheon Kim","35"
"Sungwoong Kim","35"
"Bichen Wu","1+6"
